tre_ID	target_clade	dominant_root_id	dominant_root_leaf_count	dominant_target_count	dominant_total_count	dominant_purity	candidate_id	candidate_type	candidate_leaf_count	phylo_distance	alien_coverage	alien_deepvar	combined_score	removed_flag	removed_tips_original
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	GIN_0002249	tip	1	1	0.006622516556291391	7	0.0	0	
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	GIN_0002801	tip	1	1	0.006622516556291391	7	0.0	0	
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	GIN_0015113	tip	1	1	0.006622516556291391	5	0.0	0	
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0015426	tip	1	2	0.006622516556291391	7	1.0862340597589397	1	CER_0015426
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0015427	tip	1	2	0.006622516556291391	7	1.0862340597589397	1	CER_0015427
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0015430	tip	1	2	0.006622516556291391	6	0.8146755448192048	1	CER_0015430
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0015428	tip	1	2	0.006622516556291391	6	0.8146755448192048	1	CER_0015428
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0015429	tip	1	2	0.006622516556291391	6	0.8146755448192048	1	CER_0015429
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0000126	tip	1	2	0.006622516556291391	3	0.0	0	
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	CER_0023832	tip	1	2	0.006622516556291391	3	0.0	0	
OG0001317_157	Magnoliopsida	N149	151	139	151	0.9205298013245033	N144	node	2	3	0.013245033112582781	4	0.4686700860687036	0	
