tre_name	gf_id	num_ingroup	num_outgroup	outgroup_genes	status
OG0000622_254_T5_9	OG0000622_254	9	0		skip_no_valid_outgroup
OG0000622_254_T6_7	OG0000622_254	7	3	CHL_0004222,MAR_0009187,SOL_0012491	ok
OG0000622_254_T7_4	OG0000622_254	4	2	CEC_0016363,PHA_0003786	ok
OG0000622_254_T8_3	OG0000622_254	3	1	SOL_0030903	ok
OG0000622_254_T11_2	OG0000622_254	2	2	CHL_0004222,MAR_0009187	ok
OG0000622_254_T13_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T14_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T15_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T17_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T18_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T19_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T21_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000622_254_T22_2	OG0000622_254	2	0		skip_no_valid_outgroup
OG0000629_253_T3_10	OG0000629_253	10	0		skip_no_valid_outgroup
OG0000629_253_T4_8	OG0000629_253	8	2	ARA_0025363,ASP_0008456	ok
OG0000629_253_T6_5	OG0000629_253	5	0		skip_no_valid_outgroup
OG0000629_253_T7_4	OG0000629_253	4	0		skip_no_valid_outgroup
OG0000629_253_T8_3	OG0000629_253	3	0		skip_no_valid_outgroup
OG0000629_253_T9_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T10_2	OG0000629_253	2	1	LOC107647031	ok
OG0000629_253_T12_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T13_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T14_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T15_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T16_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T17_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T18_2	OG0000629_253	2	0		skip_no_valid_outgroup
OG0000629_253_T19_2	OG0000629_253	2	2	LOC107605494,ardaradu.V14167.gnm1.Aradu.A06g03409	ok
