#tree_ID	gd_id	gd_support	gene1	gene2	level	species	GD_dup_sps	dup_ratio	gd_type	comment
OG0000622_254	1	97.0	ORY_0028906	ORY_0027410	S1	ORY	2	100.00%	AABB	-
OG0000622_254	1	97.0	BRA_0011993	BRA_0017726	S1	BRA	2	100.00%	AABB	-
OG0000622_254	2	42.0	NA	CUC_0004081	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004082	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004085	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004084	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004086	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004083	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NA	CUC_0004087	S24	CUC	2	8.00%	AXBB	-
OG0000622_254	2	42.0	ACT_0004080	NA	S24	ACT	2	8.00%	AXBB	-
OG0000622_254	2	42.0	ACT_0005731	NA	S24	ACT	2	8.00%	AXBB	-
OG0000622_254	2	42.0	ACT_0015051	NA	S24	ACT	2	8.00%	AXBB	-
OG0000622_254	2	42.0	ACT_0028257	NA	S24	ACT	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003336	PRU_0014086	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003336	PRU_0014087	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003336	PRU_0014089	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003336	PRU_0014088	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003337	PRU_0014086	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003337	PRU_0014087	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003337	PRU_0014089	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	PRU_0003337	PRU_0014088	S24	PRU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	CIN_0014522	NA	S24	CIN	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002200	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002203	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002202	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002201	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002204	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0002205	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	NYM_0038063	NA	S24	NYM	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AMB_0014267	NA	S24	AMB	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AQU_0004302	NA	S24	AQU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AQU_0004303	NA	S24	AQU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AQU_0004304	NA	S24	AQU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AQU_0029156	NA	S24	AQU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	AQU_0029157	NA	S24	AQU	2	8.00%	AXBB	-
OG0000622_254	2	42.0	POP_0037281	NA	S24	POP	2	8.00%	AXBB	-
OG0000622_254	2	42.0	POP_0037282	NA	S24	POP	2	8.00%	AXBB	-
OG0000622_254	2	42.0	POP_0045175	NA	S24	POP	2	8.00%	AXBB	-
OG0000622_254	2	42.0	POP_0045176	NA	S24	POP	2	8.00%	AXBB	-
OG0000622_254	2	42.0	POP_0045177	NA	S24	POP	2	8.00%	AXBB	-
OG0000622_254	2	42.0	LIR_0027560	NA	S24	LIR	2	8.00%	AXBB	-
OG0000622_254	2	42.0	VIT_0019526	VIT_0003901	S24	VIT	2	8.00%	AXBB	-
OG0000622_254	3	48.0	arharahy.Tifrunner.gnm1.Arahy.13g04700	NA	S26	arh	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ACT_0016413	NA	S26	ACT	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ACT_0037100	NA	S26	ACT	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ORY_0016453	NA	S26	ORY	2	7.41%	AXBB	-
OG0000622_254	3	48.0	MIM_0028493	NA	S26	MIM	2	7.41%	AXBB	-
OG0000622_254	3	48.0	NYM_0015949	NYM_0039904	S26	NYM	2	7.41%	AXBB	-
OG0000622_254	3	48.0	GIN_0024426	NA	S26	GIN	2	7.41%	AXBB	-
OG0000622_254	3	48.0	GIN_0003011	NA	S26	GIN	2	7.41%	AXBB	-
OG0000622_254	3	48.0	GIN_0020940	NA	S26	GIN	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ASP_0000388	NA	S26	ASP	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CER_0005637	NA	S26	CER	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CER_0005638	NA	S26	CER	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CER_0006716	NA	S26	CER	2	7.41%	AXBB	-
OG0000622_254	3	48.0	BRA_0035210	NA	S26	BRA	2	7.41%	AXBB	-
OG0000622_254	3	48.0	COF_0021759	NA	S26	COF	2	7.41%	AXBB	-
OG0000622_254	3	48.0	PHA_0036717	NA	S26	PHA	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CUC_0002621	NA	S26	CUC	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CUC_0002622	NA	S26	CUC	2	7.41%	AXBB	-
OG0000622_254	3	48.0	HEL_0040894	NA	S26	HEL	2	7.41%	AXBB	-
OG0000622_254	3	48.0	MED_0021556	NA	S26	MED	2	7.41%	AXBB	-
OG0000622_254	3	48.0	PRU_0021512	NA	S26	PRU	2	7.41%	AXBB	-
OG0000622_254	3	48.0	PRU_0021513	NA	S26	PRU	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CIN_0024981	NA	S26	CIN	2	7.41%	AXBB	-
OG0000622_254	3	48.0	GLY_0016021	NA	S26	GLY	2	7.41%	AXBB	-
OG0000622_254	3	48.0	GLY_0026981	NA	S26	GLY	2	7.41%	AXBB	-
OG0000622_254	3	48.0	AMB_0002630	AMB_0010187	S26	AMB	2	7.41%	AXBB	-
OG0000622_254	3	48.0	AMB_0002630	AMB_0013109	S26	AMB	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ardaradu.V14167.gnm1.Aradu.A03g04571	NA	S26	ard	2	7.41%	AXBB	-
OG0000622_254	3	48.0	ARA_0003888	NA	S26	ARA	2	7.41%	AXBB	-
OG0000622_254	3	48.0	POP_0034211	NA	S26	POP	2	7.41%	AXBB	-
OG0000622_254	3	48.0	LOC107631511	NA	S26	ari	2	7.41%	AXBB	-
OG0000622_254	3	48.0	AQU_0024347	NA	S26	AQU	2	7.41%	AXBB	-
OG0000622_254	3	48.0	LIR_0036186	NA	S26	LIR	2	7.41%	AXBB	-
OG0000622_254	3	48.0	VIT_0020057	NA	S26	VIT	2	7.41%	AXBB	-
OG0000622_254	3	48.0	CEC_0028899	NA	S26	CEC	2	7.41%	AXBB	-
OG0000622_254	4	100.0	ardaradu.V14167.gnm1.Aradu.A09g03327	NA	S13	ard	2	66.67%	AABX	-
OG0000622_254	4	100.0	arharahy.Tifrunner.gnm1.Arahy.19g03446	arharahy.Tifrunner.gnm1.Arahy.19g03447	S13	arh	2	66.67%	AABX	-
OG0000622_254	4	100.0	arharahy.Tifrunner.gnm1.Arahy.09g03166	arharahy.Tifrunner.gnm1.Arahy.19g03447	S13	arh	2	66.67%	AABX	-
OG0000622_254	4	100.0	LOC107619373	LOC107619374	S13	ari	2	66.67%	AABX	-
OG0000622_254	5	100.0	ORY_0005236	ORY_0023195	S1	ORY	2	100.00%	AABB	-
OG0000622_254	5	100.0	BRA_0029697	BRA_0056533	S1	BRA	2	100.00%	AABB	-
OG0000622_254	6	74.0	arharahy.Tifrunner.gnm1.Arahy.19g03446	NA	S28	arh	2	6.67%	AXBB	-
OG0000622_254	6	74.0	arharahy.Tifrunner.gnm1.Arahy.09g03166	NA	S28	arh	2	6.67%	AXBB	-
OG0000622_254	6	74.0	arharahy.Tifrunner.gnm1.Arahy.19g03447	NA	S28	arh	2	6.67%	AXBB	-
OG0000622_254	6	74.0	SOL_0012491	NA	S28	SOL	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ACT_0023101	NA	S28	ACT	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ACT_0035501	NA	S28	ACT	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ORY_0002729	ORY_0005236	S28	ORY	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ORY_0002729	ORY_0023195	S28	ORY	2	6.67%	AXBB	-
OG0000622_254	6	74.0	MIM_0000394	NA	S28	MIM	2	6.67%	AXBB	-
OG0000622_254	6	74.0	NYM_0031460	NA	S28	NYM	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GIN_0003826	NA	S28	GIN	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GIN_0012376	NA	S28	GIN	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GIN_0027741	NA	S28	GIN	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ASP_0020588	NA	S28	ASP	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CER_0005915	NA	S28	CER	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CER_0012083	NA	S28	CER	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CER_0012084	NA	S28	CER	2	6.67%	AXBB	-
OG0000622_254	6	74.0	BRA_0051014	BRA_0029697	S28	BRA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	BRA_0051014	BRA_0056533	S28	BRA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	BRA_0051015	BRA_0029697	S28	BRA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	BRA_0051015	BRA_0056533	S28	BRA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	COF_0004302	NA	S28	COF	2	6.67%	AXBB	-
OG0000622_254	6	74.0	PHA_0024310	NA	S28	PHA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CHL_0004222	NA	S28	CHL	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CUC_0022948	NA	S28	CUC	2	6.67%	AXBB	-
OG0000622_254	6	74.0	HEL_0032404	NA	S28	HEL	2	6.67%	AXBB	-
OG0000622_254	6	74.0	MED_0006003	NA	S28	MED	2	6.67%	AXBB	-
OG0000622_254	6	74.0	PRU_0043513	NA	S28	PRU	2	6.67%	AXBB	-
OG0000622_254	6	74.0	AMB_0015029	NA	S28	AMB	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GLY_0001404	NA	S28	GLY	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GLY_0071875	NA	S28	GLY	2	6.67%	AXBB	-
OG0000622_254	6	74.0	GLY_0038478	NA	S28	GLY	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CIN_0014370	NA	S28	CIN	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CIN_0022850	NA	S28	CIN	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ardaradu.V14167.gnm1.Aradu.A09g03327	NA	S28	ard	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ARA_0021295	NA	S28	ARA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	ARA_0024398	NA	S28	ARA	2	6.67%	AXBB	-
OG0000622_254	6	74.0	POP_0004022	NA	S28	POP	2	6.67%	AXBB	-
OG0000622_254	6	74.0	LOC107619373	NA	S28	ari	2	6.67%	AXBB	-
OG0000622_254	6	74.0	LOC107619374	NA	S28	ari	2	6.67%	AXBB	-
OG0000622_254	6	74.0	AQU_0041447	NA	S28	AQU	2	6.67%	AXBB	-
OG0000622_254	6	74.0	LIR_0011521	NA	S28	LIR	2	6.67%	AXBB	-
OG0000622_254	6	74.0	LIR_0042341	NA	S28	LIR	2	6.67%	AXBB	-
OG0000622_254	6	74.0	VIT_0020106	NA	S28	VIT	2	6.67%	AXBB	-
OG0000622_254	6	74.0	CEC_0013176	NA	S28	CEC	2	6.67%	AXBB	-
OG0000622_254	7	79.0	arharahy.Tifrunner.gnm1.Arahy.13g04700	arharahy.Tifrunner.gnm1.Arahy.19g03446	S28	arh	26	86.67%	AXBB	-
OG0000622_254	7	79.0	arharahy.Tifrunner.gnm1.Arahy.13g04700	arharahy.Tifrunner.gnm1.Arahy.09g03166	S28	arh	26	86.67%	AXBB	-
